"UC -- FEAT Traceability Matrix ","FEAT1: 获取教师信息: ","FEAT2: 获取学生信息: ","FEAT3: 获取课程信息: ","FEAT4: 网站论坛: ","FEAT5: 课程论坛: ","FEAT6: 答疑课堂: ","FEAT7: 后台管理: ","FEAT8: 登录/注册: ","FEAT10: 文件上传下载: ","FEAT11: 浏览网站页面: ","FEAT12: 消息通知: ","FEAT13: 数据备份: "
"UC21: 学生课程论坛跟帖上传附件add: ","","","","","TS","","","","","","","TS"
"UC23: 学生课程论坛删除跟帖上传附件add: ","","","","","TS","","","","","","","TS"
"UC31: 学生发帖上传附件add: ","","","","TS","TS","","","","TS","","","TS"
"UC32: 学生发帖取消上传附件add: ","","","","TS","TS","","","","","","","TS"
"UC33: 学生下载课程论坛附件add: ","","","","","TS","","","","","","","TS"
"UC96: 教师课程论坛跟帖上传附件add: ","","","","","TS","","","","TS","","","TS"
"UC97: 教师课程论坛取消跟帖上传附件add: ","","","","","TS","","","","TS","","","TS"
"UC102: 教师发帖上传附件add: ","","","","","","","","","TS","","","TS"
"UC103: 教师发帖删除上传附件add: ","","","","TS","TS","","","","","","","TS"
"UC104: 教师下载课程论坛附件add: ","","","","","","","","","TS","","","TS"
"UC233: 管理员备份论坛附件add: ","","","","","","","","","","","","TS"
"UC234: 课程论坛附件下载add: ","","","","","TS","","TS","","TS","","","TS"
"UC235: 课程论坛附件删除add: ","","","","","TS","","TS","","","","","TS"
